TYPE,TEXT
Car,Can I buy a new car?
Car,How may I purchase a car?
Car,How much is a new car?
Car,I need a new car
Car,Im looking to buy a car
Car,I want a car
Car,Im trying to buy a vehicle
Car,how much for the car?
Car,sell me a vehicle
Car,I want a truck
Maintain,I need to repair my car
Maintain,how much for repairs?
Maintain,my vehicle is broken down
Maintain,the engine isnt working
Maintain,my car wont start
Maintain,I need a mechanic
Maintain,can you look at my car?
Maintain,the car is broken
Maintain,I need new tires
Maintain,Im out of gas
Bike,Can I get a bike?
Bike,do you guys sell bikes?
Bike,Im looking to purchase a bike
Bike,need to buy a motorbike
Bike,where can I buy a bike?
Bike,how much is a bike?
Bike,whats the cost of bikes?
Bike,is there motorbikes here?
Bike,can you send me a bike?
Bike,what bikes do you have?
